# Namespace(base_learning_rate=0.1, batch_size=128, cudnn_workspace_limit_mb=64, db_type='minidb', epoch_size=49920, file_store_path='./models', gpus=None, image_size=32, load_model_path=None, num_channels=3, num_epochs=100, num_gpus=1, num_labels=10, num_shards=1, redis_host=None, redis_port=6379, run_id=None, save_model_name='mobilenet', shard_id=0, test_data='/data/cifar10/test_minidb', train_data='/data/cifar10/train_minidb', weight_decay=0.0001)
time_spent,cumulative_time_spent,input_count,cumulative_input_count,cumulative_batch_count,inputs_per_sec,accuracy,epoch,learning_rate,loss,test_accuracy
1028.50893807,53485.5349259,49920,2545920,20279,48.5362821382,1.0,51,0.0100000007078,0.00102327915374,0.8890625
1028.77359414,54514.308521,49920,2595840,20669,48.5237959881,1.0,52,0.0100000007078,0.000530786288437,0.889609375
1028.66210008,55542.9706221,49920,2645760,21059,48.5290553587,1.0,53,0.0100000007078,0.00133243307937,0.8878125
1028.80223799,56571.7728601,49920,2695680,21449,48.5224449916,1.0,54,0.0100000007078,0.0019809238147,0.891484375
1028.65827107,57600.4311318,49920,2745600,21839,48.5292359997,1.0,55,0.0100000007078,0.000992286601104,0.891015625
1028.53489804,58628.966032,49920,2795520,22229,48.5350570943,1.0,56,0.0100000007078,0.00101523217745,0.8871875
1030.00657892,59658.9726119,49920,2845440,22619,48.4657098523,1.0,57,0.0100000007078,0.00102217111271,0.891953125
1028.73248315,60687.705096,49920,2895360,23009,48.525735133,1.0,58,0.0100000007078,0.00063905963907,0.89234375
1022.03143501,61709.736532,49920,2945280,23399,48.8438988174,1.0,59,0.0010000000475,0.000676785188261,0.890234375
1023.1042881,62732.840821,49920,2995200,23789,48.7926798671,1.0,60,0.0010000000475,0.00120163359679,0.885546875
1028.80500603,63761.645828,49920,3045120,24179,48.5223144401,1.0,61,0.0010000000475,0.000676476280205,0.888125
1028.90711093,64790.5529399,49920,3095040,24569,48.5174992667,1.0,62,0.0010000000475,0.000779217923991,0.888671875
1028.85535908,65819.4082999,49920,3144960,24959,48.519939717,1.0,63,0.0010000000475,0.000950511486735,0.88546875
1028.878268,66848.2865689,49920,3194880,25349,48.5188593757,1.0,64,0.0010000000475,0.000637857068796,0.888828125
1029.00957894,67877.2961481,49920,3244800,25739,48.5126679299,1.0,65,0.0010000000475,0.000420503725763,0.888984375
1029.05488992,68906.351038,49920,3294720,26129,48.5105318376,1.0,66,0.0010000000475,0.000397957657697,0.8915625
1029.03443694,69935.3854771,49920,3344640,26519,48.5114960277,1.0,67,0.0010000000475,0.000790970399976,0.886484375
1028.979141,70964.3646181,49920,3394560,26909,48.5141029697,1.0,68,0.0010000000475,0.000969475135207,0.88765625
1028.91907096,71993.28369,49920,3444480,27299,48.5169353052,1.0,69,0.0010000000475,0.000355025345925,0.888515625
1028.94794202,73022.2316329,49920,3494400,27689,48.5155739775,1.0,70,0.0010000000475,0.000589768227655,0.889296875
1028.92027712,74051.151911,49920,3544320,28079,48.5168784308,1.0,71,0.0010000000475,0.00106103322469,0.888046875
1028.92890692,75080.0808189,49920,3594240,28469,48.5164715117,1.0,72,0.0010000000475,0.00103417946957,0.888203125
1028.38504815,76108.465868,49920,3644160,28859,48.5421293218,1.0,73,0.0010000000475,0.00141039071605,0.891640625
876.765427113,76985.2312949,49920,3694080,29249,56.9365516207,1.0,74,0.0010000000475,0.00151403027121,0.88796875
974.49779582,77959.7290919,49920,3744000,29639,51.2263857488,1.0,75,0.0010000000475,0.000776924367528,0.890234375
1033.25921679,78992.9883089,49920,3793920,30029,48.3131427129,1.0,76,0.0010000000475,0.00125274958555,0.889140625
1035.63768315,80028.625993,49920,3843840,30419,48.202185776,1.0,77,0.0010000000475,0.00109125801828,0.8884375
